src,tgr
不是我的错。,It's not my fault.
我還沒有拿定主意。,I haven't made up my mind yet.
你是个优秀的记者。,You're an excellent journalist.
我把它关了。,I turned it off.
我寧可不要單獨去那裡。,I would rather not go there alone.
别低估我。,Don't underestimate me.
我聽不到你的聲音。,I can't hear you.
他今天見他們了嗎？,Has he met them today?
湯姆被閃電擊中過三次。,Tom has been struck by lightning three times.
我的病给他治好了。,He cured my illness.
他们抵达了酒店。,They arrived at the hotel.
但願我現在在巴黎。,I wish I were in Paris now.
你該讓湯姆知道瑪麗要去做。,You ought to let Tom know Mary is going to do that.
我想我可以。,I think I can.
可能要下雨了。,It might rain.
我告訴了你停下來，不是嗎？,"I told you to stop, didn't I?"
我不喜欢科学。,I don't like science.
馬是動物。,Horses are animals.
汤姆和玛丽去了镇上最好的饭店。,Tom and Mary went to the best restaurant in town.
你听得见吗？,Can you hear me?
麻煩您等一下。,Will you wait a minute?
汤姆真帅。,Tom is really handsome.
你想到几岁才结婚呢？,At what age do you want to get married?
因为闪光灯坏了，他不能在黑暗中拍照。,"The flash wasn't working, so he couldn't take a picture in the dark."
你病了，该休息了。,You're sick. You have to rest.
让我去商店吧。,Let me go to the store.
实话说，我不赞成你。,"To tell the truth, I don't agree with you."
燈由紅變綠。,The light changed from red to green.
國王統治了這個國家。,The king governed the country.
我要多很多。,I want much more.
从这个问题开始吧。,Let's begin with this problem.
我是用刀切蛋糕的。,I used a knife to cut the cake.
我们路上一帆风顺，直到遇上暴风雪。,We made good time until we ran into a blizzard.
我聞到瓦斯味。,I smell gas.
一個老人在樹蔭下休息。,An old man was resting in the shade of the tree.
我凭韧性克服了困难。,I got over the difficulty with my characteristic tenacity.
墙上还是有血。,There's still blood on the wall.
我開始寫一本書。,I started writing a book.
他已經到了能瞭解它的年紀。,He is old enough to understand it.
让我进去。,Let me come in.
我昨晚作了一個好夢。,I had a pleasant dream last night.
湯姆說法語說得不太好。,Tom can't speak much French.
