src,trg
到明年我们学英语就有5年了。,We will have learned English for five years next year.
要是我知道会发生这种事，那我死活不同意。,"If I'd known that it would come to this, I would have never consented."
将来我要去国外旅游。,I want to go to a foreign country someday.
他们在这里。,They are here.
我們上同一所學校。,We go to the same school.
塑料不易燃烧。,Plastic does not burn easily.
你的建議似乎是合理的。,Your suggestion seems reasonable.
很抱歉我忘了寫作業。,"I'm sorry, I forgot my homework."
她问了我们好几个问题。,She asked us several questions.
你进步了。,You've made progress.
别再傻看着。,Stop gawking.
可惜这是真的。,It's unfortunately true.
最近的車站在哪裡？,Where's the nearest station?
汤姆是一个越军退役军人。,Tom is a Vietnam veteran.
我錯過了最後一班火車。,I missed the last train.
他睡着的时候，打呼声很响。,He snored loudly while he slept.
我们学校离公园非常近。,Our school is very close to the park.
這是正確的事情。,It's the right thing to do.
你们不能炒了我们。,You can't fire us.
我去年做了一次長途旅行。,I made a long journey last year.
汤姆很清楚我喜欢什么样的发型。,Tom knows exactly how I like my hair done.
我贏得了第一名！,I've won first prize!
您的牛排要几分熟？,How would you like your steak?
你该打扫你的房间。,You have to clean your room.
這文章是胡說。,This article is nonsense.
我讨厌那种事。,I don't go in for that sort of thing.
禁止吸烟。,Smoking is prohibited.
我不知道他們是否會離婚。,I wonder if they'll get divorced.
要是我说错话被人议论，我是不管的。,I don't mind being criticized when I am wrong.
湯姆留在家裡。,Tom stayed home.
這個男孩喜歡繪畫。,The boy enjoyed painting a picture.
你确定要我什么都不说？,Are you sure you don't want me to say anything?
你很愚蠢。,You are stupid.
她在他的背上戳了一下。,She stabbed him in the back.
你告诉了他们什么？,What have you told them?
我家就是你家。,My house is your house.
这没有任何区别。,It won't make any difference.
今天下午到我家来一趟。,Come to my house this afternoon.
她给了他一块表。,She gave him a watch.
燈由紅變綠。,The light changed from red to green.
我问他是否知道她的住址。,I asked him if he knew her address.
NTT這個縮寫是什麼意思？,What do the initials NTT stand for?
遊客諮詢處在哪裡?,Where is the tourist information office?
我每三个月献一次血。,I donate blood every three months.
出租车司机没有受重伤。,The cab driver wasn't seriously injured.
我不会再见他了。,I won't see him anymore.
他们分道而行。,They went their separate ways.
你只是說說而已。,You are just saying that.
我能借支铅笔吗？,Could I borrow a pencil?
把你的三明治給我。,Give me your sandwich.
他怕那只狗。,He's afraid of the dog.
你喜歡莫扎特的音樂嗎？,Do you like Mozart's music?
這班火車如此的擁擠以至於我整個車程都必須站著。,The train was so crowded that I had to stand all the way.
牙齿卡了点东西。,You've got something in your teeth.
你为什么这么害怕？,Why were you so scared?
拍攝是在中午十二時左右開始。,The shooting started around noon.
这几年，科学取得了显著的进步。,"In recent years, science has made remarkable progress."
今天晚上我玩得很開心。,I had a good time this evening.
不要让自己因为一些小事而烦躁了。,Stop getting yourself worked up over little things.
我對他的問題感到很困惑。,I was very confused by his questions.
有風險。,There were risks.
我們交談了有關棒球的事。,We had a conversation about baseball.
我對未來感到有希望。,I feel hopeful about the future.
他們被嚇到了。,They were frightened.
想像力影响着我们生活的各个方面。,Imagination affects every part of our lives.
那是湿的。,That's wet.
我被烦死了。,I was quite annoyed.
那里的气候怎么样?,How is the weather there?
我們遲早會知道真相。,"Sooner or later, we'll know the truth."
我不敢相信汤姆亲了我。,I can't believe Tom kissed me.
你是汤姆吗？,Are you Tom?
我不搬去波士顿。,I'm not moving to Boston.
他曾经反对垄断。,He was opposed to monopolies.
他向我施压。,He pressured me.
我今天趕時間。,I'm in a hurry today.
他的话就是命令。,His word is law.
今晚月亮很圆。,There's a full moon tonight.
湯姆剛從郵局回來。,Tom has just returned from the post office.
健康胜于财富。,Health is more important than wealth.
这是什么气味？,What's this smell?
會議持續多久？,How long will the meeting last?
由于下雨，野餐泡汤了。,The picnic was canceled because of rain.
你有一份好工作。,You have a good job.
我们的航班被取消了。,Our flight was canceled.
他喜歡照顧花園。,He likes taking care of the garden.
